Reward: -5.0000, SE: 118.4580, QoE_volte: 1.0000, QoE_embb: 0.0339, QoE_urllc: 1.0000
Reward: 2.0038, SE: 362.1104, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.9004
Reward: -5.0000, SE: 157.6028, QoE_volte: 1.0000, QoE_embb: 0.9083, QoE_urllc: 1.0000
Reward: -7.0000, SE: 359.8061, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: -5.0000, SE: 166.6774, QoE_volte: 1.0000, QoE_embb: 0.8975, QoE_urllc: 0.9853
Reward: -7.0000, SE: 321.7050, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: 2.4014, SE: 297.2626, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.9401
Reward: -7.0000, SE: 292.6026, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: -5.0000, SE: 152.2930, QoE_volte: 1.0000, QoE_embb: 0.8713, QoE_urllc: 1.0000
Reward: 4.0000, SE: 248.5005, QoE_volte: 1.0000, QoE_embb: 0.9998, QoE_urllc: 0.9542
Reward: 1.9058, SE: 229.9663, QoE_volte: 1.0000, QoE_embb: 0.9975, QoE_urllc: 0.8906
Reward: -5.0000, SE: 160.3886, QoE_volte: 1.0000, QoE_embb: 0.9268, QoE_urllc: 1.0000
Reward: -5.0000, SE: 130.8123, QoE_volte: 1.0000, QoE_embb: 0.0286, QoE_urllc: 1.0000
Reward: 4.0000, SE: 271.0640, QoE_volte: 1.0000, QoE_embb: 0.9998, QoE_urllc: 1.0000
Reward: -7.0000, SE: 526.0485, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: -7.0000, SE: 495.9875, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: -7.0000, SE: 224.9879, QoE_volte: 1.0000, QoE_embb: 0.9994, QoE_urllc: 0.0000
Reward: -7.0000, SE: 527.0160, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: -3.1628, SE: 445.1832, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.3837
Reward: 7.4575, SE: 314.5753, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 1.0000
Reward: 4.0000, SE: 218.1634, QoE_volte: 1.0000, QoE_embb: 0.9993, QoE_urllc: 0.9945
Reward: -7.0000, SE: 195.4748, QoE_volte: 1.0000, QoE_embb: 0.9993, QoE_urllc: 0.0000
Reward: 2.1080, SE: 297.0655, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.9108
Reward: -7.0000, SE: 506.5320, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: -5.0000, SE: 134.7224, QoE_volte: 1.0000, QoE_embb: 0.6047, QoE_urllc: 1.0000
Reward: -4.1336, SE: 416.8975, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.2866
Reward: 0.8931, SE: 321.0482, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.7893
Reward: -1.1899, SE: 370.6250, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.5810
Reward: 4.0000, SE: 225.7389, QoE_volte: 1.0000, QoE_embb: 0.9970, QoE_urllc: 0.9935
Reward: 1.0663, SE: 206.3844, QoE_volte: 1.0000, QoE_embb: 0.9857, QoE_urllc: 0.8066
Reward: -2.2030, SE: 364.0471, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.4797
Reward: -6.1622, SE: 239.0770, QoE_volte: 1.0000, QoE_embb: 0.9994, QoE_urllc: 0.0838
Reward: 0.4648, SE: 211.2827, QoE_volte: 1.0000, QoE_embb: 0.9977, QoE_urllc: 0.7465
Reward: 1.3051, SE: 278.9278, QoE_volte: 1.0000, QoE_embb: 0.9996, QoE_urllc: 0.8305
Reward: -7.0000, SE: 331.9793, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: 2.4426, SE: 369.3104, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.9443
Reward: 0.0570, SE: 248.9785, QoE_volte: 1.0000, QoE_embb: 0.9980, QoE_urllc: 0.7057
Reward: -5.0000, SE: 144.2731, QoE_volte: 1.0000, QoE_embb: 0.4935, QoE_urllc: 1.0000
Reward: -5.0000, SE: 126.3572, QoE_volte: 1.0000, QoE_embb: 0.0234, QoE_urllc: 1.0000
Reward: -5.0000, SE: 117.3212, QoE_volte: 1.0000, QoE_embb: 0.0223, QoE_urllc: 0.9497
Reward: 1.8764, SE: 321.4600, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.8876
Reward: -5.0000, SE: 177.5832, QoE_volte: 1.0000, QoE_embb: 0.9711, QoE_urllc: 1.0000
Reward: -6.9656, SE: 335.7052, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0034
Reward: -5.0000, SE: 141.8693, QoE_volte: 1.0000, QoE_embb: 0.0648, QoE_urllc: 1.0000
Reward: 4.0000, SE: 237.4796, QoE_volte: 1.0000, QoE_embb: 0.9977, QoE_urllc: 0.9723
Reward: -0.6478, SE: 354.2439, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.6352
Reward: -7.0000, SE: 458.4727, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: -7.0000, SE: 346.0239, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: -6.8566, SE: 501.1463, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0143
Reward: -1.6965, SE: 337.3230, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.5304
Reward: 1.1789, SE: 381.8657, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.8179
Reward: 4.0000, SE: 267.0603, QoE_volte: 1.0000, QoE_embb: 0.9995, QoE_urllc: 1.0000
Reward: -7.0000, SE: 335.1365, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: -5.0000, SE: 148.2690, QoE_volte: 1.0000, QoE_embb: 0.0845, QoE_urllc: 0.2991
Reward: -7.0000, SE: 173.4937, QoE_volte: 1.0000, QoE_embb: 0.9973, QoE_urllc: 0.0000
Reward: 4.0000, SE: 213.4822, QoE_volte: 1.0000, QoE_embb: 0.9905, QoE_urllc: 0.9856
Reward: -5.0000, SE: 159.0159, QoE_volte: 1.0000, QoE_embb: 0.0308, QoE_urllc: 1.0000
Reward: -3.7192, SE: 236.4603, QoE_volte: 1.0000, QoE_embb: 0.9983, QoE_urllc: 0.3281
Reward: 1.0428, SE: 370.8837, QoE_volte: 1.0000, QoE_embb: 0.9998, QoE_urllc: 0.8043
Reward: -5.7786, SE: 332.9760, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.1221
Reward: 0.0787, SE: 363.3881, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.7079
Reward: -5.0000, SE: 140.2269, QoE_volte: 1.0000, QoE_embb: 0.1969, QoE_urllc: 0.3312
Reward: -5.0000, SE: 144.6829, QoE_volte: 1.0000, QoE_embb: 0.6745, QoE_urllc: 0.8768
Reward: -0.5562, SE: 356.8430, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.6444
Reward: -5.0000, SE: 151.5762, QoE_volte: 1.0000, QoE_embb: 0.1751, QoE_urllc: 0.9887
Reward: -7.0000, SE: 237.7522, QoE_volte: 1.0000, QoE_embb: 0.9987, QoE_urllc: 0.0000
Reward: -7.0000, SE: 282.7756, QoE_volte: 1.0000, QoE_embb: 0.9996, QoE_urllc: 0.0000
Reward: -5.0000, SE: 128.9347, QoE_volte: 1.0000, QoE_embb: 0.0894, QoE_urllc: 0.3596
Reward: -5.0000, SE: 167.6834, QoE_volte: 1.0000, QoE_embb: 0.9799, QoE_urllc: 0.0000
Reward: -5.0000, SE: 124.8644, QoE_volte: 1.0000, QoE_embb: 0.9757, QoE_urllc: 0.0000
Reward: -0.8439, SE: 396.8876, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.6156
Reward: 4.0000, SE: 239.4173, QoE_volte: 1.0000, QoE_embb: 0.9986, QoE_urllc: 1.0000
Reward: 4.0000, SE: 249.4685, QoE_volte: 1.0000, QoE_embb: 0.9975, QoE_urllc: 1.0000
Reward: 1.6751, SE: 320.4214, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.8675
Reward: -7.0000, SE: 499.8654, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: -7.0000, SE: 258.9170, QoE_volte: 1.0000, QoE_embb: 0.9999, QoE_urllc: 0.0000
Reward: -5.0000, SE: 96.9083, QoE_volte: 1.0000, QoE_embb: 0.0421, QoE_urllc: 0.0000
Reward: 4.0000, SE: 231.7161, QoE_volte: 1.0000, QoE_embb: 0.9974, QoE_urllc: 0.9643
Reward: -7.0000, SE: 228.6983, QoE_volte: 1.0000, QoE_embb: 0.9987, QoE_urllc: 0.0000
Reward: -7.0000, SE: 267.7196, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: 1.8845, SE: 358.5255, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.8884
Reward: 4.0000, SE: 241.7035, QoE_volte: 1.0000, QoE_embb: 0.9990, QoE_urllc: 0.9964
Reward: 4.0000, SE: 236.8937, QoE_volte: 1.0000, QoE_embb: 0.9997, QoE_urllc: 0.9756
Reward: -7.0000, SE: 415.1083, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: -5.0000, SE: 170.4578, QoE_volte: 1.0000, QoE_embb: 0.9472, QoE_urllc: 0.0107
